Title	URL	Assignees	Status	Sprint	Task Type	Nature	Epic	Time Estimation	Actual Time
Event interaction UI	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/201		Product Backlog		Frontend	Sprint Task			
Event interaction summary	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/23	Nath-Assa	Product Backlog			User Story			
Implement atomic transaction in database for buying tickets	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/224		Product Backlog		Backend	Sprint Task	Networking		
Join Event	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/99	nikhen-s, Viccha18	Product Backlog			User Story	Networking	10h	
Get user current location	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/204		Product Backlog		Backend	Sprint Task	Technical Requirements		
User location VM	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/205		Product Backlog		ViewModel	Sprint Task	Networking		
User location UI	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/206		Product Backlog		Frontend	Sprint Task	UX/UI		
Live location integration with Map view of Events	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/207		Product Backlog			User Story			
Display QR Code on MY QR Code Screen	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/175	nikhen-s	In Review	Sprint 7	Frontend	Sprint Task	Networking	30mins	1h
Display my Qr Code View Model	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/176	nikhen-s	In Review	Sprint 7	ViewModel	Sprint Task	Networking	1.5h	3.5h
Wireframes + Mockups for 14. View Participants List in Group Chat	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/101		Product Backlog		Figma	Sprint Task	UX/UI		
Wireframes + Mockups for 13. Send Message in Group Chat	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/40		Product Backlog		Figma	Sprint Task	UX/UI		
Group chat Overview Filter Frontend	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/215		Product Backlog		Frontend	Sprint Task			
Group chat Overview Filter Backend	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/214		Product Backlog		Backend	Sprint Task			
Group chat overview Filter	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/213		Product Backlog			User Story			
Group chat Overview UI	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/212		Product Backlog		Frontend	Sprint Task	Networking		
